번호,종목코드,종목명,현재가,전일대비,공시일,지정일,해제일
38,7460,나라케이아이씨,"2,000",0,2017/12/08,2017/12/11,2017/12/27
37,118000,우리들휴브레인,"2,780",15,2017/12/05,2017/12/06,2017/12/20
36,7630,암니스,"1,225",00,2017/11/23,2017/11/24,2017/12/13
35,7460,나라케이아이씨,"2,000",0,2017/11/14,2017/11/15,2017/11/22
34,3075,코오롱글로벌우,"32,200",50,2017/11/02,2017/11/03,2017/11/17
33,32350,롯데관광개발,"14,800",50,2017/11/01,2017/11/02,2017/11/16
32,144620,코오롱머티리얼,"3,200",45,2017/09/14,2017/09/15,2017/09/29
31,92220,KEC,"2,805",-130,2017/09/04,2017/09/05,2017/09/19
30,99350,하나니켈2호,-,-,2017/08/25,2017/08/28,2017/09/11
29,4415,서울식품우,"5,190",-10,2017/08/01,2017/08/02,2017/08/24
28,1515,SK증권우,"5,200",30,2017/06/12,2017/06/13,2017/06/28
27,2787,진흥기업2우B,"11,500",-350,2017/05/19,2017/05/22,2017/06/05
26,11700,한신기계,"1,600",30,2017/05/17,2017/05/18,2017/06/01
25,1470,삼부토건,"4,250",-180,2017/05/16,2017/05/17,2017/05/31
24,9275,신원우,"37,450",450,2017/05/10,2017/05/11,2017/05/26
23,1470,삼부토건,"4,250",-180,2017/04/19,2017/04/20,2017/05/15
22,99350,하나니켈2호,-,-,2017/03/17,2017/03/20,2017/04/03
21,8700,아남전자,"2,460",140,2017/03/13,2017/03/14,2017/04/05
20,1380,SG충방,"2,075",-20,2017/03/13,2017/03/14,2017/03/28
19,90970,코리아01호,-,-,2017/03/07,2017/03/08,2017/03/17
18,90980,코리아02호,-,-,2017/03/07,2017/03/08,2017/03/15
17,90990,코리아03호,-,-,2017/03/07,2017/03/08,2017/03/15
16,91000,코리아04호,-,-,2017/03/07,2017/03/08,2017/03/15
15,13367,일성건설2우B,-,-,2017/03/06,2017/03/07,2017/03/21
14,1380,SG충방,"2,075",-20,2017/02/13,2017/02/14,2017/02/28
13,117930,한진해운,-,-,2017/01/31,2017/02/01,2017/02/23
12,90970,코리아01호,-,-,2017/01/31,2017/02/01,2017/02/15
11,2420,세기상사,"61,600",00,2017/01/20,2017/01/23,2017/02/08
10,90980,코리아02호,-,-,2017/01/13,2017/01/16,2017/02/01
9,11810,STX,"5,830",40,2017/01/12,2017/01/13,2017/01/31
8,90990,코리아03호,-,-,2017/01/11,2017/01/12,2017/01/31
7,91000,코리아04호,-,-,2017/01/11,2017/01/12,2017/01/31
6,1515,SK증권우,"5,200",30,2017/01/11,2017/01/12,2017/01/26
5,71970,STX중공업,"3,850",60,2017/01/10,2017/01/11,2017/05/25
4,90970,코리아01호,-,-,2017/01/05,2017/01/06,2017/01/13
3,117930,한진해운,-,-,2017/01/05,2017/01/06,2017/01/13
2,2900,동양물산,"1,515",-5,2016/12/28,2016/12/29,2017/01/13
1,7280,한국특수형강,"1,935",10,2016/12/20,2016/12/21,2017/01/06
67,009320,대우부품,"2,685",30,2018/12/18,2018/12/19,2019/01/08
66,008350,남선알미늄,"4,560",-50,2018/12/17,2018/12/18,2019/01/04
65,009460,한창제지,"2,530",25,2018/12/04,2018/12/05,2018/12/21
64,18064K,한진칼우,"44,900",-400,2018/11/20,2018/11/21,2018/12/10
63,002785,진흥기업우B,"6,010",-100,2018/11/14,2018/11/15,2018/11/29
62,008355,남선알미우,"44,500",200,2018/11/06,2018/11/07,2018/11/29
61,009460,한창제지,"2,530",25,2018/11/05,2018/11/06,2018/11/20
60,214330,금호에이치티,"2,710",180,2018/10/31,2018/11/01,2018/11/15
59,002005,한국유리우,-,-,2018/09/10,2018/09/11,2018/09/28
58,068290,삼성출판사,"23,150",0,2018/09/07,2018/09/10,2018/09/27
57,002210,동성제약,"12,300",350,2018/08/28,2018/08/29,2018/09/12
56,009470,삼화전기,"20,000",-150,2018/07/10,2018/07/11,2018/07/25
55,003580,동원,"5,320",10,2018/07/05,2018/07/06,2018/07/24
54,011390,부산산업,"113,500",0,2018/06/19,2018/06/20,2018/07/04
53,001550,조비,"17,900",50,2018/06/15,2018/06/18,2018/07/02
52,010600,웰바이오텍,"2,280",-40,2018/06/05,2018/06/07,2018/06/27
51,012205,계양전기우,"7,430",-500,2018/06/05,2018/06/07,2018/06/22
50,069460,대호에이엘,"2,505",-25,2018/05/30,2018/05/31,2018/06/18
49,008970,동양철관,"1,120",30,2018/05/29,2018/05/30,2018/06/15
48,000725,현대건설우,"173,000",-500,2018/05/29,2018/05/30,2018/06/15
47,004565,현대비앤지스틸우,"63,300","-1,300",2018/05/29,2018/05/30,2018/06/15
46,011390,부산산업,"113,500",0,2018/05/29,2018/05/30,2018/06/01
